,Path_1,Path_2,Path_3,Path_4,Path_5,Path_6,Path_7,Path_8,Path_9,Path_10,Path_11,Path_12,Path_13,Path_14,Path_15,Path_16,Path_17,Path_18,Path_19,Path_20
0.01,4.881644499655595,4.912245260936816,4.823620010039693,4.8523575770424285,4.901188759669145,4.9423248818887195,4.848251019378084,4.884563261859775,4.876886202929171,4.8447398270417805,4.930425548299577,4.880329986780791,4.927865336709685,4.94448767547298,4.863420416489055,4.838452395113426,4.862752506789813,4.842333753936643,4.834515356801751,4.925873248047826
0.02,4.869593218701683,4.893888967326885,4.854979760754643,4.88144394610763,4.869961444469346,4.902462876339496,4.822175057343594,4.907211570789687,4.89062400145826,4.85093560610329,4.938280458020581,4.948816441750778,5.006568426920727,4.916506986041283,4.918580131337088,4.909835303049239,4.8083450425879475,4.775438347406503,4.798954887257352,4.91646031117344
0.03,4.823607630533253,4.924211296101166,4.828427425705216,4.811323995501255,4.8500068951894475,4.995465778160795,4.832393596908029,4.9845596063145665,4.884949596244356,4.941545782587226,5.032303404758963,4.955194274702438,4.978749715122134,4.967273038164386,4.834820325497071,4.862178788847156,4.804165197453103,4.767382146507986,4.749775624352629,4.9025825741796565
0.04,4.855743172142973,4.957291968736377,4.787310464311369,4.774738107429652,4.925890414141244,5.046949953112781,4.842428332077987,4.929292676550558,4.909817647955509,4.9814338922684716,5.020428244854323,4.9406558160384195,4.939073601831784,4.970952655924357,4.873011362121859,4.87880077500403,4.920798643524306,4.877002282270694,4.701404971541865,4.956567850189973
0.05,4.91059821823936,4.901366835416677,4.799310157440743,4.781683673992559,4.9456514802996265,5.036157570501341,4.846415564971729,4.892900264719842,4.914490311733666,4.99302508952238,4.937848665258216,4.886915423833145,4.991111471162765,4.972032929012562,4.896422291196133,4.857891594458741,4.870433308506492,4.897238370983246,4.712462022004166,4.945471570386559
0.06,4.841909899413517,4.883277295832838,4.716312031856612,4.802219270115138,4.9521096532518465,5.034570113063556,4.792749949227232,4.837863799241563,4.962900046454528,5.061166847240729,4.93625084374381,4.910519254253487,4.9891850224349295,4.887065353642861,4.957882530036404,4.918666057887873,4.88101236709054,4.888839972949939,4.6910791573445065,4.998717311041218
0.07,4.8851270217468725,4.91316672540063,4.735860392445884,4.825635007454308,4.958122289745491,4.983283912201621,4.7614432897017345,4.854389280584289,4.948813521654386,5.033533633266357,4.958574769347782,4.888564903315188,5.012161927619534,4.9610879254473055,4.929517024781817,4.936575941588525,4.915114260385188,4.93149468740642,4.646670495581812,5.04797645248121
0.08,4.898659495798703,4.861590960548712,4.762968086635918,4.8393846476918645,4.985652850940013,4.940748763037331,4.763233788448108,4.836607884790591,5.003154567860279,5.047583427191772,4.983220536789305,4.831960990504969,5.0048833113029545,4.934751274463019,4.877814344727628,4.959828453644271,4.930073659498557,4.893665192274476,4.674320691672613,5.070450622898845
0.09,4.8819410128154574,4.994674721744305,4.675539919876782,4.810859150803196,5.010338975585921,4.932612083247572,4.752111508011971,4.8083481296611,4.980895383133769,5.093270510173927,4.938501957098514,4.821276979493495,4.985289278447889,4.837537024257794,4.923779116501676,4.97405889299886,4.845422406887681,4.892606601222893,4.6730267509418875,5.142042484220689
0.1,4.908885170829702,5.037868080102567,4.733280309949309,4.8025306771866925,5.030272803270852,4.9321800536142275,4.720771054404381,4.779539005590267,4.993313506927289,5.085619874996124,4.981038971476639,4.820288811894348,4.898080890455741,4.899932925984429,4.849391021899389,4.926410960691993,4.879150023541033,4.91581875042367,4.671898217399623,5.152598525197393
